Year,New Or Old,Address,Production Origin,Color,Car Gearbox,Used (kilomet),Company,Fuel Type,Machine Capacity (L) Random,Price
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 2000, Mercedes, máy xăng, 3.0, 3 Tỷ 750 Triệu
2000, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tay, 100000, Toyota, máy xăng, 3.0, 186 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 2.0, 1 Tỷ 74 Triệu
2017, Xe cũ, Vĩnh Phúc, Xe lắp ráp trong nước, màu trắng, số tay, 45000, Chevrolet, máy xăng, 1.6, 325 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 30000, Mini, máy xăng, 2.0, 1 Tỷ 480 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Lexus, máy xăng, 2.0, 2 Tỷ 560 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 169 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 588 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 40000, Lexus, máy xăng, 5.7, 6 Tỷ 790 Triệu
2022, Xe mới, Bắc Giang, Xe lắp ráp trong nước, màu cát, số tay, 0, Toyota, máy xăng, 1.5, 483 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tay, 0, Ford, máy dầu, 2.2, 1 Tỷ 188 Triệu
2020, Xe cũ, Hà Nam, Xe nhập khẩu, màu xanh, số tự động, 13000, Lexus, máy xăng, 3.5, 4 Tỷ 190 Triệu
2021, Xe mới, Ninh Thuận, Xe nhập khẩu, màu xanh, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy xăng, 2.3, 2 Tỷ 366 Triệu
2007, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 101234, Lexus, máy xăng, 3.5, 650 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 0, Ford, máy xăng, 2.3, 2 Tỷ 350 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, MG, máy xăng, 1.5, 560 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 70000, Toyota, máy xăng, 2.0, 435 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 70000, Ford, máy dầu, 2.2, 550 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 2.7, 2 Tỷ 548 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 2.7, 1 Tỷ 124 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu vàng, số tự động, 0, Toyota, máy xăng, 1.5, 563 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 60000, Peugeot, máy xăng, 1.6, 929 Triệu
2014, Xe cũ, TP HCM, Xe nhập khẩu, màu xám, số tự động, 58142, Lexus, máy xăng, 3.5, 1 Tỷ 920 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tay, 65826, Chevrolet, máy xăng, 1.8, 375 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Kia, máy xăng, 1.6, 674 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 53000, VinFast, máy xăng, 2.0, 948 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 30000, Lexus, máy xăng, 3.5, 2 Tỷ 979 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Toyota, máy xăng, 1.8, 825 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 10000, VinFast, máy xăng, 2.0, 1 Tỷ 210 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 43696, Toyota, máy xăng, 1.5, 475 Triệu
2010, Xe cũ, Bắc Giang, Xe nhập khẩu, màu nâu, số tự động, 68000, Kia, máy xăng, 1.0, 228 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 8000, Honda, máy xăng, 1.5, 1 Tỷ 86 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 825 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 725 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 2.0, 1 Tỷ 167 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Toyota, máy xăng, 1.0, 527 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Toyota, máy dầu, 2.4, 1 Tỷ 80 Triệu
2020, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 33000, Toyota, máy xăng, 2.0, 969 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu bạc, số tự động, 0, Toyota, máy xăng, 1.5, 688 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Volvo, máy xăng, 2.0, 1 Tỷ 750 Triệu
2021, Xe mới, Vĩnh Phúc, Xe lắp ráp trong nước, màu đen, số tự động, 0, Honda, máy xăng, 1.5, 529 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 200 Triệu
2022, Xe mới, Lâm Đồng, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.0, 813 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 0, Volkswagen, máy xăng, 2.0, 1 Tỷ 929 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 950 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đen, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 173 Triệu
2014, Xe cũ, Hà Nội, Xe nhập khẩu, màu nâu, số tự động, 43000, Porsche, máy xăng, 3.6, 2 Tỷ 550 Triệu
2022, Xe mới, Vĩnh Phúc, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Kia, máy xăng, 1.5, 624 Triệu
2022, Xe mới, Bà Rịa Vũng Tàu, Xe lắp ráp trong nước, màu xám, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 17000, LandRover, máy xăng, 5.0, 6 Tỷ 690 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy dầu, 2.4, 1 Tỷ 88 Triệu
2022, Xe mới, Cần Thơ, Xe lắp ráp trong nước, màu đen, số tự động, 0, Toyota, máy xăng, 1.5, 536 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 27000, Mercedes, máy xăng, 2.0, 1 Tỷ 488 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 937 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 7600, Mercedes, máy xăng, 4.7, 3 Tỷ 600 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 0, Mitsubishi, máy xăng, 1.5, 662 Triệu
2007, Xe cũ, Vĩnh Phúc, Xe nhập khẩu, màu đen, số tự động, 112000, Toyota, máy xăng, 2.7, 555 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 23000, Mercedes, máy xăng, 2.0, 1 Tỷ 459 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 983 Triệu
2017, Xe cũ, Bà Rịa Vũng Tàu, Xe lắp ráp trong nước, màu trắng, số tự động, 65200, Kia, máy xăng, 1.6, 495 Triệu
2015, Xe cũ, Bà Rịa Vũng Tàu, Xe nhập khẩu, màu trắng, số tự động, 64500, Mercedes, máy xăng, 1.6, 799 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 127000, Kia, máy xăng, 2.0, 348 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Suzuki, máy xăng, 1.5, 559 Triệu
2016, Xe cũ, Bà Rịa Vũng Tàu, Xe lắp ráp trong nước, màu đen, số tự động, 67480, Mazda, máy xăng, 2.0, 650 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 75000, Toyota, máy xăng, 2.7, 1 Tỷ 545 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 52000, Mazda, máy xăng, 1.5, 555 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Isuzu, máy dầu, 1.9, 900 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tay, 0, Isuzu, máy dầu, 7.8, 1 Tỷ 695 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 18000, Kia, máy dầu, 2.2, 1 Tỷ 280 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Honda, máy xăng, 1.5, 585 Triệu
2014, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu nâu, số tự động, 69000, Mercedes, máy xăng, 2.0, 889 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.5, 927 Triệu
2017, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu trắng, số tay, 75000, Chevrolet, máy xăng, 1.6, 345 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.5, 648 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mitsubishi, máy xăng, 2.0, 903 Triệu
2014, Xe cũ, TP HCM, Xe nhập khẩu, màu bạc, số tự động, 56000, LandRover, máy xăng, 2.0, 1 Tỷ 200 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu vàng, số tự động, 0, MG, máy xăng, 1.5, 579 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 586 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tay, 0, Suzuki, máy xăng, 1.0, 293 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 33000, Mercedes, máy xăng, 2.0, 1 Tỷ 859 Triệu
2022, Xe mới, Vĩnh Phúc, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.5, 899 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 5575, Toyota, máy xăng, 1.5, 560 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu vàng, số tự động, 18000, Lexus, máy xăng, 2.5, 2 Tỷ 299 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Honda, máy xăng, 1.5, 599 Triệu
2020, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 7000, LandRover, máy xăng, 3.0, 9 Tỷ 700 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu cát, số tự động, 0, Toyota, máy xăng, 1.8, 720 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 556 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 7000, Mercedes, máy xăng, 2.0, 2 Tỷ 270 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, LandRover, máy xăng, 2.0, 5 Tỷ 999 Triệu
2022, Xe mới, Đồng Nai, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 1 Tỷ 118 Triệu
2007, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 140000, Toyota, máy xăng, 2.4, 360 Triệu
2012, Xe cũ, Đăk Lăk, Xe lắp ráp trong nước, màu đen, số tự động, 68140, Kia, máy xăng, 1.6, 360 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 3.4, 7 Tỷ 250 Triệu
2007, Xe cũ, Bắc Ninh, Xe nhập khẩu, màu ghi, số tự động, 218888, Nissan, máy xăng, 2.5, 315 Triệu
2008, Xe cũ, Bắc Ninh, Xe nhập khẩu, màu đỏ, số tự động, 94554, Ssangyong, máy xăng, 3.2, 245 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tay, 80000, Hyundai, máy xăng, 1.0, 265 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.8, 709 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, xe hybrid, 1.8, 920 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu nâu, số tự động, 100000, Lexus, máy xăng, 4.6, 3 Tỷ 290 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 76000, Mercedes, máy xăng, 4.7, 3 Tỷ 99 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 40000, Mercedes, máy xăng, 2.0, 1 Tỷ 368 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tay, 0, Suzuki, máy xăng, 1.0, 288 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu xanh, số tự động, 0, Toyota, máy xăng, 1.8, 846 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Suzuki, máy xăng, 1.5, 589 Triệu
2021, Xe cũ, Long An, Xe nhập khẩu, màu trắng, số tự động, 12000, Ford, máy dầu, 2.0, 1 Tỷ 239 Triệu
2021, Xe mới, Bình Dương, Xe nhập khẩu, màu trắng, số tự động, 0, Nissan, máy xăng, 1.0, 579 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Lexus, máy xăng, 2.5, 2 Tỷ 590 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 0, Toyota, máy xăng, 2.0, 865 Triệu
2022, Xe mới, Hải Dương, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 684 Triệu
2021, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 18000, Ford, máy dầu, 2.2, 700 Triệu
2012, Xe cũ, Hà Nội, Xe nhập khẩu, màu cát, số tự động, 130000, Toyota, máy xăng, 2.7, 1 Tỷ 95 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 3.4, 4 Tỷ 100 Triệu
2022, Xe mới, Bà Rịa Vũng Tàu, Xe nhập khẩu, màu đỏ, số tự động, 0, Toyota, máy xăng, 1.8, 846 Triệu
2014, Xe cũ, Khánh Hòa, Xe nhập khẩu, màu trắng, số tự động, 53000, LandRover, máy xăng, 2.0, 1 Tỷ 250 Triệu
2022, Xe mới, Vĩnh Phúc, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.8, 765 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu vàng, số tự động, 0, Kia, máy xăng, 1.5, 624 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 40000, Mazda, máy xăng, 2.5, 780 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tay, 0, Mitsubishi, máy xăng, 1.5, 505 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.0, 832 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.0, 799 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy xăng, 2.0, 687 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mazda, máy xăng, 1.5, 627 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy xăng, 1.4, 699 Triệu
2019, Xe cũ, Đà Nẵng, Xe nhập khẩu, màu đỏ, số tự động, 37000, Suzuki, máy xăng, 1.2, 525 Triệu
2017, Xe cũ, Đăk Lăk, Xe lắp ráp trong nước, màu bạc, số tay, 60000, Toyota, máy xăng, 1.5, 372 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Kia, máy xăng, 1.25, 389 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Mazda, máy xăng, 1.5, 677 Triệu
2020, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu đỏ, số tự động, 15239, Mazda, máy xăng, 2.0, 786 Triệu
2022, Xe mới, Bắc Giang, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 399 Triệu
2009, Xe cũ, Hải Phòng, Xe lắp ráp trong nước, màu đen, số tự động, 58000, Toyota, máy xăng, 1.8, 330 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 140 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 6980, Volvo, máy xăng, 2.0, 3 Tỷ 699 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu ghi, số tay, 0, Ford, máy dầu, 2.2, 779 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xám, số tự động, 0, Mitsubishi, máy xăng, 2.0, 790 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Kia, máy xăng, 2.0, 929 Triệu
2009, Xe cũ, Nghệ An, Xe nhập khẩu, màu bạc, số tự động, 91000, Daewoo, máy xăng, 1.6, 225 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Ford, máy dầu, 2.0, 800 Triệu
2017, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu đỏ, số tự động, 58000, Hyundai, máy xăng, 2.0, 735 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, VinFast, xe điện, 1.5, 590 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 988 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 4000, VinFast, máy xăng, 2.0, 840 Triệu
2019, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu đen, số tự động, 52000, Toyota, máy xăng, 2.5, 990 Triệu
2014, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 126859, Honda, máy xăng, 2.4, 638 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 310 Triệu
2015, Xe cũ, Phú Thọ, Xe lắp ráp trong nước, màu bạc, số tay, 46000, Toyota, máy dầu, 2.5, 735 Triệu
2015, Xe cũ, Thái Bình, Xe lắp ráp trong nước, màu trắng, số tự động, 92000, Honda, máy xăng, 2.4, 665 Triệu
2019, Xe cũ, Thái Bình, Xe lắp ráp trong nước, màu đen, số tự động, 30000, Hyundai, máy xăng, 1.4, 495 Triệu
2022, Xe mới, Bà Rịa Vũng Tàu, Xe lắp ráp trong nước, màu đen, số tự động, 0, Honda, máy xăng, 1.5, 569 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 48000, Kia, máy xăng, 1.6, 595 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 70000, Suzuki, máy xăng, 1.4, 365 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 30000, Mercedes, máy xăng, 2.0, 1 Tỷ 739 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 80, Mercedes, máy xăng, 2.0, 979 Triệu
2021, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 3700, Volvo, máy xăng, 2.0, 3 Tỷ 999 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 30000, Honda, máy xăng, 1.5, 465 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Mazda, máy xăng, 2.0, 839 Triệu
2021, Xe cũ, Vĩnh Phúc, Xe lắp ráp trong nước, màu trắng, số tay, 19000, Hyundai, máy xăng, 1.25, 355 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Mitsubishi, máy dầu, 2.4, 1 Tỷ 345 Triệu
2020, Xe cũ, Hải Phòng, Xe lắp ráp trong nước, màu trắng, số tự động, 20000, Ford, máy xăng, 1.5, 589 Triệu
2014, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu đen, số tự động, 57000, Hyundai, máy dầu, 2.2, 755 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 88888, Lexus, máy xăng, 3.5, 695 Triệu
2021, Xe cũ, Bình Dương, Xe lắp ráp trong nước, màu đỏ, số tự động, 14000, Mazda, máy xăng, 1.5, 685 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đồng, số tay, 90000, Toyota, máy xăng, 2.0, 515 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xám, số tự động, 9000, Mercedes, máy xăng, 2.0, 1 Tỷ 799 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Hyundai, máy dầu, 2.2, 1 Tỷ 340 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu cam, số tự động, 16000, Ford, máy dầu, 2.0, 875 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 925 Triệu
2021, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 13000, Ford, máy dầu, 2.0, 1 Tỷ 435 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu đồng, số tự động, 60000, Nissan, máy dầu, 2.5, 660 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Mitsubishi, máy dầu, 2.4, 735 Triệu
2014, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 99000, Mitsubishi, máy xăng, 3.0, 465 Triệu
2022, Xe mới, Hà Nam, Xe lắp ráp trong nước, màu nâu, số tự động, 0, VinFast, máy xăng, 2.0, 881 Triệu
2021, Xe mới, Thanh Hóa, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Hyundai, máy xăng, 1.6, 643 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Ford, máy xăng, 2.3, 2 Tỷ 366 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tay, 0, Mitsubishi, máy xăng, 1.5, 485 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu nâu, số tay, 0, Ford, máy dầu, 2.2, 628 Triệu
2021, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Hyundai, máy xăng, 1.6, 690 Triệu
2012, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tay, 150000, Toyota, máy dầu, 2.5, 365 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Hyundai, máy dầu, 2.2, 1 Tỷ 410 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tay, 0, Ford, máy dầu, 2.2, 1 Tỷ 288 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 50000, Mazda, máy dầu, 2.2, 620 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 35000, Toyota, máy xăng, 2.5, 1 Tỷ 175 Triệu
2020, Xe cũ, TP HCM, Xe nhập khẩu, màu xanh, số tự động, 48000, Volvo, máy xăng, 2.0, 2 Tỷ 150 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu bạc, số tay, 0, Ford, máy dầu, 2.2, 825 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 53000, Mazda, máy xăng, 2.5, 935 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu nâu, số tự động, 30000, Nissan, máy dầu, 2.5, 635 Triệu
2014, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 80000, Mitsubishi, máy xăng, 3.0, 485 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 8, Toyota, máy dầu, 3.0, 700 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy dầu, 2.4, 780 Triệu
2013, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 63261, Hyundai, máy xăng, 1.6, 350 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 65000, Volkswagen, máy xăng, 1.8, 836 Triệu
2008, Xe cũ, Thái Nguyên, Xe nhập khẩu, màu đen, số tự động, 16000, Toyota, máy xăng, 2.4, 399 Triệu
2014, Xe cũ, Hà Nội, Xe nhập khẩu, màu nâu, số tự động, 50, Toyota, máy xăng, 2.7, 1 Tỷ 399 Triệu
2009, Xe cũ, TP HCM, Xe nhập khẩu, màu đen, số tự động, 100106, Toyota, máy xăng, 5.7, 1 Tỷ 780 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Mazda, máy xăng, 2.0, 834 Triệu
2011, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 11000, Toyota, máy xăng, 2.4, 510 Triệu
2015, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 60000, Chevrolet, máy xăng, 1.8, 385 Triệu
